Intent,Web Message,Type,Title,Description,Text,Media,URL,State
Benefits,"At Paradox, we provide a full range of benefits for our employees and their eligible family members. Our comprehensive benefits package includes medical, dental and vision coverage, along with life insurance and disability income benefits.| lien test",,,,,,,
Benefits_Eligibility,"At Paradox, we provide a full range of benefits for our employees and their eligible family members.",,,,,,,
Benefits_Enrollment,Eligibility waiting period for our benefits is the first of the month following date of hire. (Example: If you are hired on January 10 your effective date is February 1),,,,,,,
Benefits_Insurance,,,,,,,,
Benefits_Insurance_AccidentalDeath,,,,,,,,
Benefits_Insurance_Dental,"At Paradox, we provide dental insurance for our employees and their eligible family members through Principal.",,,,,,,
Benefits_Insurance_DependentCare,Thank you for asking about dependent care assistance. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Insurance_EAP,"Our employees have access to Care24 Services, which is available 24 hours a day, 7 days a week. Care24 offers a wide range of health and well-being information ranging from medical and family matters to personal legal, financial and emotional needs.",,,,,,,
Benefits_Insurance_FlexibleSpendingAccount,Thank you for asking about flexible spending accounts (FSA). We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Insurance_HealthcareOnsite,"We don't have a healthcare facility onsite, however, our employees have access to a first aid kit if needed.",,,,,,,
Benefits_Insurance_HealthSavingsAccount,"We offer medical insurance through United Healthcare, which includes a health savings account option.",,,,,,,
Benefits_Insurance_Life,"At Paradox, we provide our full-time employees with group term life insurance through Lincoln Financial for $25,000; the amount for our managers is $50,000.",,,,,,,
Benefits_Insurance_LongTermDisability,"We provide our full-time employees with long-term disability income benefits and pay the full cost of this coverage. In the event you become disabled, our disability income benefits are provided as a source of income.",,,,,,,
Benefits_Insurance_Medical,"At Paradox, we provide medical insurance for our employees and their eligible family members through United Healthcare. We offer a full selection of healthcare programs with prescription drug coverage.",,,,,,,
Benefits_Insurance_OccupationAccident,Thank you for asking about our occupational accident insurance. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Insurance_ShortTermDisability,"We provide our full-time employees with short-term disability income benefits. This coverage is voluntary, so each employee would be responsible for paying the monthly premium. In the event you become disabled, our disability income benefits are provided as a source of income.",,,,,,,
Benefits_Insurance_Vision,"At Paradox, we provide vision insurance for our employees and their eligible family members through Humana.",,,,,,,
Benefits_Insurance_Wellness,Thank you for asking about wellness program options. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Other,We provide a full range of benefits for our employees and their eligible family members. Our comprehensive benefits package includes insurance and retirement benefits.,,,,,,,
Benefits_Other_Adoption,Thank you for asking about adoption assistance. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Other_ChildCare,Thank you for asking about child care assistance. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Other_Commuting,Thank you for asking about commuting benefits. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Other_CompanyCar,Thank you for asking about company car programs. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Other_EmployeeDiscounts,Thank you for asking about employee discounts. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Other_IdentityTheft,Thank you for asking about identity theft protection. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Other_MobilePhoneDiscount,Thank you for asking about mobile phone discounts. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Other_Pet,Thank you for asking about pet insurance coverage. We currently don't offer this as part of our benefits package.,,,,,,,
Benefits_Other_PrePaidLegal,"Our employees have access to Care24 Services, which is available 24 hours a day, 7 days a week. Care24 representatives can offer personal legal advice.",,,,,,,
Benefits_Other_Relocation,Thank you for asking about relocation assistance. We handle relocation on a case by case basis.,,,,,,,
Benefits_Other_Union,Thank you for asking about unions. We do not currently have partnerships or affiliation with unions.,,,,,,,
Benefits_Other_WorkingRemotely,,,,,,,,
Benefits_Retirement,"We provide our full-time employees with group term accidental death and dismemberment (AD&D) insurance through Lincoln Financial for $25,000; the amount for managers is $50,000.",,,,,,,
Benefits_Retirement_401K,"At Paradox, we provide a full range of benefits, including medical, dental and vision coverage, along with life insurance and disability income benefits.",,,,,,,
Benefits_Retirement_ESOP,,,,,,,,
Benefits_Retirement_PensionPlan,,,,,,,,
Benefits_TimeOff,,,,,,,,
Benefits_TimeOff_Bereavement,,,,,,,,
Benefits_TimeOff_CompressedWorkWeek,,,,,,,,
Benefits_TimeOff_FMLA,,,,,,,,
Benefits_TimeOff_Holidays,"We offer our employees seven paid holidays: New Year's Day, Memorial Day, Independence Day, Labor Day, Thanksgiving, the day after Thanksgiving and Christmas Day.",,,,,,,
Benefits_TimeOff_JuryDuty,"We of course honor your civic duty for jury duty, as with all time off, we just expect you to communicate with your manager.",,,,,,,
Benefits_TimeOff_Maternity,"We offer 12 weeks unpaid for maternity leave. In addition, expecting mothers can apply for short-term disability income benefits to receive a percentage of their pay.",,,,,,,
Benefits_TimeOff_Military,"At Paradox, we support our military and work with each individual on any leave required for active duty.",,,,,,,
Benefits_TimeOff_NationalGuard,"At Paradox, we support our military and work with each individual on any leave required for reserve duty.",,,,,,,
Benefits_TimeOff_Parental,"We offer up to 12 weeks unpaid for parental leave. In addition, expecting mothers can apply for short-term disability income benefits to receive a percentage of their pay.",,,,,,,
Benefits_TimeOff_Paternity,"We offer up to 12 weeks unpaid for parental leave. In addition, expecting mothers can apply for short-term disability income benefits to receive a percentage of their pay.",,,,,,,
Benefits_TimeOff_PTO,"At Paradox, we offer our employees a time off policy without specific limits. You can use your judgment, as long as you get the job done. Please speak to your manager about expectations for requesting time off.",,,,,,,
Benefits_TimeOff_Sabbatical,"At Paradox, we offer our employees a time off policy without specific limits. You can use your judgment, as long as you get the job done. Please speak to your manager about expectations for requesting time off.",,,,,,,
Benefits_TimeOff_Sick,"At Paradox, we offer our employees a time off policy without specific limits. You can use your judgment, as long as you get the job done. Please speak to your manager about expectations for requesting time off.",,,,,,,
Benefits_TimeOff_Unpaid,We view unpaid time off on a case-by-case basis.,,,,,,,
Benefits_TimeOff_Vacation,"At Paradox, we offer our employees a time off policy without specific limits. You can use your judgment, as long as you get the job done. Please speak to your manager about expectations for requesting time off.",,,,,,,
Benefits_TimeOff_Volunteer,We view time off for volunteer activities on a case-by-case basis.,,,,,,,
Company,"At Paradox, we're inspired by the paradoxical concept that AI can make the candidate experience more human. That's why Paradox built me—an AI assistant obsessed with improving and reinventing the candidate experience.",,,,,,,
Company_Awards,"We are just getting started, and we're more concerned with serving our clients than getting awards—although we're sure they'll come in the future.",,,,,,,
Company_Awards_Community,"We're shaking up Arizona and want to be the Valley's AI leader, but we're still new. We want the best people to help us change the world.",,,,,,,
Company_Awards_Industry,"We're shaking up the industry, but we're still new. We want the best people to help us change the world.",,,,,,,
Company_BBB,"That's a great question! While I don't have an answer for you at this time, I encourage you to check out some of our client reviews here: https://paradox.ai/clients",,,,,,,
Company_Charity,"Thank you for asking about charities. We're committed to the employment and job search industry, and help various groups with community job search.",,,,,,,
Company_Classification,"We are a technology company focused on improving the recruiting industry. #ai-name, the flagship product of Paradox, is designed to build a better candidate experience as an AI assistant.",,,,,,,
Company_Competition,"There's always something to improve, something to adapt, something more we can do to address our clients' needs. We don't want to follow our competitors, we strive to lead the HR technology industry.",,,,,,,
Company_Competition_Advantage,Our core product offerings use innovative technology to serve small businesses to large enterprises. We also work with our clients to implement custom solutions that fit their unique needs.,,,,,,,
Company_CorporateResponsibility,We have a responsibility to our employers and our job seekers and treat that with the utmost importance.,,,,,,,
Company_Customers,Our clients are employers from every industry within the United States and abroad. They range in size from SMB to global enterprises and RPOs.,,,,,,,
Company_Customers_Support,"I'm here to assist potential candidates with job-related questions. For other inquiries, please click here: https://paradox.ai/contact",,,,,,,
Company_FacilityTours,Thank you for asking about facility tours. Reach out to our recruiter and we're happy to show you around.,,,,,,,
Company_Financial,"Paradox is a privately-held company, so we don't share our financial information.",,,,,,,
Company_Financial_EPS,"As a privately-held company, we don't have any earnings per share (EPS).",,,,,,,
Company_Financial_Health,"Paradox is a privately-held company, so we don't share our financial information, but we're growing and doing some amazing things!",,,,,,,
Company_Financial_Private,"Paradox is privately-held, owned by Aaron Matos and backed by Recruiting Ventures. ",,,,,,,
Company_Financial_Public,Paradox is not a public company but is privately-held and backed by Recruiting Ventures. ,,,,,,,
Company_Financial_Revenue,"Paradox is a privately-held company, so we don't share our financial information.",,,,,,,
Company_Financial_StockPrice,"As a privately-held company, we don't have a public stock price.",,,,,,,
Company_Financial_StockTicker,"As a privately-held company, we don't have a public stock ticker.",,,,,,,
Company_Future,We’re a start-up that’s growing fast and building the foundation for a company that can disrupt the recruiting industry. We have a very exciting future ahead of us!,,,,,,,
Company_History,"Paradox was founded by Aaron Matos. In the summer of 2016, Paradox launched me as their flagship product. I'm designed to build a better candidate experience as an AI assistant.",,,,,,,
Company_History_FoundedWhen,Paradox was founded in 2016 by Arizona technology executive Aaron Matos.,,,,,,,
Company_History_FoundedWhere,"Paradox was founded in Scottsdale, Arizona.",,,,,,,
Company_History_FoundedWho,Paradox was founded by Arizona technology executive Aaron Matos.,,,,,,,
Company_History_FoundedWhy,Paradox exists for one reason: to help our clients succeed by recruiting the right people. Our approach is to build software that makes it easier for recruiters and job seekers to find each other and connect.,,,,,,,
Company_Industry,"Paradox is competing in the HR technology industry, specifically focusing on bringing artificial intelligence to recruiting technology and automation. ",,,,,,,
Company_Investors,"Paradox is backed and funded by Recruiting Ventures. We have the capital to grow, expand, and acquire.",,,,,,,
Company_Location,"Our headquarters is based out of The Quad complex in Scottsdale, AZ. You can find us at 6330 E. Thomas Road, Scottsdale, AZ 85251.",,,,,,,
Company_Location_Activities,"The city of Scottsdale offers plenty of things to do, including shopping, outdoor activities, a variety of restaurants and a vibrant night life.",,,,,,,
Company_Location_Count,"Our headquarters is based out of The Quad complex in Scottsdale, AZ.",,,,,,,
Company_Location_Directions,"The Paradox office is located at The Quad: 6330 E. Thomas Road
Scottsdale, AZ 85251.",,,,,,,
Company_Location_Gym,"There are two on-site gyms, which makes workouts possible even with a packed schedule. You'll see we're just as serious about building our health as building our business.",,,,,,,
Company_Location_Parking,"The Quad offers abundant parking for visitors and our employees who choose to drive to work. Paradox is located at 6330 E. Thomas Road, Scottsdale, AZ 85251.",,,,,,,
Company_Location_Phone,"I'm here to answer your questions. You can also reach our recruiter, Lauren, at 602.914.7647.",,,,,,,
Company_Location_Restaurants,Our office is conveniently located in downtown Scottsdale where you'll find a variety of restaurants in the surrounding area.,,,,,,,
Company_Press,Thank you for asking about our press releases. The News section of our site is coming very soon!,,,,,,,
Company_PreviousWork,"Paradox is a portfolio company of Recruiting Ventures. Our companies have served hundreds of millions of job seekers, tens of thousands of employers through the years, and have sold hundreds of millions of dollars of software.",,,,,,,
Company_Product,"I'm the flagship product of Paradox, designed to build a better candidate experience as an AI assistant.",,,,,,,
Company_ProfessionalAssociations,We review membership in professional associations on a case-by-case basis.,,,,,,,
Company_Purpose,We believe that the power of AI can improve candidate and recruiter experiences and allow recruiters to do what they do best. ,,,,,,,
Company_Purpose_Mission,"At Paradox, we want to transform the recruiting experience through the power of AI.",,,,,,,
Company_Purpose_Values,"We work hard and play hard. We're transforming recruiting but are still new as a founding team. If you're up to the challenge, we want you to help us create the future!",,,,,,,
Company_Purpose_Vision,"We believe that the power of AI can improve candidate and recruiter experiences, and allow recruiters to do what they do best. ",,,,,,,
Company_Service,We have a team of product experts who are eager and willing to help all of our clients with their recruiting needs.,,,,,,,
Company_Size,We’re a start-up that’s growing fast and building the foundation for a company that can disrupt the recruiting industry. We have a very exciting future ahead of us!,,,,,,,
Company_Social,I absolutely love what I do at Paradox and I'm not afraid to share it! Follow me on our many social media profiles for the latest updates.,,,,,,,
Company_Social_Facebook,I love sharing our exciting news and photos of our team on Facebook! Follow me for the latest updates here: https://www.facebook.com/Paradox#ai-name/,,,,,,,
Company_Social_Flickr,We love what we do here and I enjoy capturing all of the exciting things happening at Paradox! Find us on Flickr here: https://www.flickr.com/photos/158699960@N03/,,,,,,,
Company_Social_Glassdoor,"I don't mean to brag, but I absolutely love what I do at Paradox! Find out why you should join us on Glassdoor.",,,,,,,
Company_Social_GooglePlus,I absolutely love what I do at Paradox and I'm not afraid to share it! Follow me on our many social media profiles for the latest updates.,,,,,,,
Company_Social_Instagram,We love what we do here and I enjoy capturing all of the exciting things happening at Paradox. Follow @Paradox#ai-name on Instagram for some #instafun photos!,,,,,,,
Company_Social_LinkedIn,"I don't mean to brag, but I absolutely love what I do at Paradox! Find out why you should join us on LinkedIn: https://www.linkedin.com/company/10804989/",,,,,,,
Company_Social_Pinterest,I'm always pinning away during my free time! Check out our Pinterest boards for exciting new ideas. https://www.pinterest.com/Paradox#ai-name/,,,,,,,
Company_Social_Snapchat,We love what we do here and I enjoy snapping stories of all the exciting things happening at Paradox! Add me on Snapchat: Paradox#ai-name,,,,,,,
Company_Social_Tumblr,I absolutely love what I do at Paradox and I'm not afraid to share it! Follow me on our many social media profiles for the latest updates.,,,,,,,
Company_Social_Twitter,I love sharing our exciting news and photos of our team on Twitter! Follow me for the latest updates here: https://twitter.com/Paradox#ai-name,,,,,,,
Company_Social_Vimeo,Visit our Vimeo channel for videos of all the exciting things happening at Paradox! https://vimeo.com/paradoxolivia,,,,,,,
Company_Social_YouTube,Thank you for asking about YouTube! We do not have a YouTube channel at this time. Follow us on Facebook or Twitter for exciting updates!,,,,,,,
Company_Success,I'm working for world-class organizations to improve both the candidate and recruiter experience. We have a lot to do to accomplish our dreams—and we’re just getting started!,,,,,,,
Company_WhatsNew,We have a very exciting future ahead of us! Our blog is coming very soon.,,,,,,,
Company_WhyShouldIWorkForYou,"We're looking for the best talent to join our team. We need different types of talent, but first and foremost, we need superstars who want to sacrifice and build a company together. If that's you, thanks for raising your hand!",,,,,,,
Compensation,"We offer competitive salaries, advancement opportunities, a full range of benefits and the chance to join a start-up that is disrupting the recruiting industry.",,,,,,,
Compensation_Deductions,"Federal and state income taxes, and FICA taxes will be automatically deducted from your paycheck. If you are enrolled in our insurance or 401k plans, your designated amount(s) will also be deducted from your paycheck.",,,,,,,
Compensation_Deductions_401K,"If you are contributing to our 401k Profit Sharing Plan, the amount you designated upon enrollment will be automatically deducted from your paycheck.",,,,,,,
Compensation_Deductions_FederalTaxes,Federal income taxes will be automatically deducted from your paycheck.,,,,,,,
Compensation_Deductions_FSA,Thank you for asking about FSA deductions. We currently don't offer this as part of our benefits package.,,,,,,,
Compensation_Deductions_Insurance,"If you are enrolled in our insurance, your designated amount(s) will be automatically deducted from your paycheck.",,,,,,,
Compensation_Deductions_SocialSecurity,Social Security will be automatically deducted from your paycheck.,,,,,,,
Compensation_Deductions_StateTaxes,State income taxes will be automatically deducted from your paycheck.,,,,,,,
Compensation_Negotiable,"All compensation will be negotiated between you and your manager, and will be based on your role, education and experience.",,,,,,,
Compensation_Negotiable_Education,"All compensation will be negotiated between you and your manager, and will be based on your role, education and experience.",,,,,,,
Compensation_Negotiable_Experience,"All compensation will be negotiated between you and your manager, and will be based on your role, education and experience.",,,,,,,
Compensation_Negotiable_Multilingual,"All compensation will be negotiated between you and your manager, and will be based on your role, education and experience.",,,,,,,
Compensation_Negotiable_Skills,"All compensation will be negotiated between you and your manager, and will be based on your role, education and experience.",,,,,,,
Compensation_Pay,"We offer competitive salaries, advancement opportunities, a full range of benefits and the chance to join a start-up that is disrupting the recruiting industry.",,,,,,,
Compensation_Pay_Bonus,Various roles at Paradox may receive bonuses. This will be discussed between you and your manager.,,,,,,,
Compensation_Pay_CashIncentives,Various roles at Paradox may receive cash incentives. This will be discussed between you and your manager.,,,,,,,
Compensation_Pay_COLA,Thank you for asking about cost of living adjustments. This will depend on where you're coming from when joining Paradox. Please talk to our recruiter for more information.,,,,,,,
Compensation_Pay_Commission,Various roles at Paradox may receive commissions. This will be discussed between you and your manager.,,,,,,,
Compensation_Pay_Contract,"Thank you for asking about contract work. At the present time, we are looking for full-time employees.",,,,,,,
Compensation_Pay_ESPP,"In addition to the compensation and benefits package, Paradox will offer equity incentive plans where appropriate.",,,,,,,
